x	y	z	Velocidad				x'	y'
-4.11218	-29.5688	-7.9897	1.15776	-0.213416	-0.415728		-28.129537	-6.550437
-3.185972	-29.739533	-8.322283	1.161169	-0.181594	-0.406823		-28.6244428	-7.2071928
-2.257036	-29.884808	-8.647741	1.163552	-0.150052	-0.397696		-29.0948454	-7.8577784
-1.326195	-30.004849	-8.965897	1.164932	-0.118828	-0.388366		-29.54068075	-8.50172875
-0.39425	-30.099912	-9.27659	1.165336	-0.087956	-0.378851		-29.9619245	-9.1386025
0.538019	-30.170277	-9.579671	1.164792	-0.057469	-0.369171		-30.35858365	-9.76797765
1.469853	-30.216252	-9.875007	1.163329	-0.027395	-0.359342		-30.73070055	-10.38945555
2.400517	-30.238168	-10.162481	1.160977	0.002239	-0.349383		-31.07834895	-11.00266195
3.329298	-30.236377	-10.441988	1.157765	0.031407	-0.33931		-31.4016313	-11.6072423
4.25551	-30.211251	-10.713435	1.153725	0.06009	-0.329138		-31.7006795	-12.2028635
5.17849	-30.16318	-10.976746	1.148888	0.088265	-0.318885		-31.9756515	-12.7892175
6.097601	-30.092567	-11.231854	1.143285	0.115917	-0.308564		-32.22672735	-13.36601435
7.012228	-29.999834	-11.478705	1.136947	0.143029	-0.29819		-32.4541138	-13.9329848
7.921786	-29.885411	-11.717258	1.129907	0.169588	-0.287777		-32.6580361	-14.4898831
8.825712	-29.74974	-11.947479	1.122196	0.195584	-0.277338		-32.8387392	-15.0364782
9.723469	-29.593273	-12.169349	1.113843	0.221005	-0.266884		-32.99648715	-15.57256315
10.614543	-29.416469	-12.382856	1.10488	0.245844	-0.256428		-33.13155905	-16.09794605
11.498447	-29.219794	-12.587998	1.095336	0.270096	-0.24598		-33.24425045	-16.61245445
12.374716	-29.003717	-12.784782	1.085242	0.293755	-0.235551		-33.3348676	-17.1159326
13.242909	-28.768713	-12.973223	1.074625	0.316818	-0.225151		-33.40373115	-17.60824115
14.10261	-28.515258	-13.153344	1.063515	0.339284	-0.214788		-33.4511715	-18.0892575
14.953422	-28.243831	-13.325174	1.051938	0.361151	-0.204471		-33.4775287	-18.5588717
15.794972	-27.95491	-13.488751	1.03992	0.38242	-0.194209		-33.4831502	-19.0169912
16.626908	-27.648975	-13.644118	1.027489	0.403092	-0.184007		-33.4683928	-19.4635358
17.448899	-27.326501	-13.791324	1.014668	0.42317	-0.173874		-33.43361565	-19.89843865
18.260634	-26.987965	-13.930423	1.001483	0.442657	-0.163815		-33.3791869	-20.3216449
19.06182	-26.633839	-14.061476	0.987956	0.461558	-0.153837		-33.305476	-20.733113
19.852185	-26.264593	-14.184545	0.97411	0.479876	-0.143944		-33.21285775	-21.13280975
20.631473	-25.880692	-14.2997	0.959966	0.497618	-0.134141		-33.10170755	-21.52071555
21.399446	-25.482598	-14.407013	0.945546	0.514789	-0.124433		-32.9724041	-21.8968191
22.155883	-25.070766	-14.506559	0.93087	0.531397	-0.114823		-32.82532505	-22.26111805
22.900579	-24.645649	-14.598418	0.915956	0.547447	-0.105316		-32.66085165	-22.61362065
23.633344	-24.207691	-14.682671	0.900824	0.562947	-0.095915		-32.4793614	-22.9543414
24.354003	-23.757333	-14.759403	0.88549	0.577905	-0.086622		-32.28123405	-23.28330405
25.062395	-23.295009	-14.828701	0.869972	0.592329	-0.07744		-32.06684725	-23.60053925
25.758373	-22.821146	-14.890653	0.854285	0.606227	-0.068372		-31.83657655	-23.90608355
26.441801	-22.336164	-14.945351	0.838445	0.619607	-0.059419		-31.59079435	-24.19998135
27.112557	-21.840478	-14.992887	0.822467	0.632479	-0.050584		-31.32987295	-24.48228195
27.770531	-21.334495	-15.033353	0.806364	0.64485	-0.041866		-31.05418085	-24.75303885
28.415622	-20.818615	-15.066847	0.79015	0.656729	-0.033269		-30.7640827	-25.0123147
29.047742	-20.293232	-15.093462	0.773837	0.668125	-0.024793		-30.4599417	-25.2601717
29.666812	-19.758732	-15.113296	0.757438	0.679048	-0.016438		-30.1421162	-25.4966802
30.272762	-19.215494	-15.126447	0.740963	0.689505	-0.008206		-29.8109607	-25.7219137
30.865532	-18.66389	-15.133012	0.724423	0.699506	-0.000097		-29.4668262	-25.9359482
31.44507	-18.104285	-15.133089	0.707829	0.70906	0.007889		-29.1100595	-26.1388635
32.011334	-17.537037	-15.126778	0.69119	0.718176	0.015751		-28.7410039	-26.3307449
32.564286	-16.962496	-15.114177	0.674516	0.726861	0.023491		-28.3599961	-26.5116771
33.103898	-16.381007	-15.095385	0.657815	0.735126	0.031106		-27.9673713	-26.6817493
33.63015	-15.792907	-15.0705	0.641095	0.742977	0.038599		-27.5634595	-26.8410525
34.143026	-15.198525	-15.03962	0.624364	0.750425	0.045969		-27.1485841	-26.9896791
34.642517	-14.598185	-15.002846	0.60763	0.757477	0.053216		-26.72306595	-27.12772695
35.128621	-13.992203	-14.960273	0.590899	0.764141	0.060341		-26.28722035	-27.25529035
35.60134	-13.380891	-14.912	0.574178	0.770426	0.067345		-25.84136	-27.372469
36.060682	-12.76455	-14.858124	0.557472	0.776339	0.074228		-25.3857887	-27.4793627
36.50666	-12.143479	-14.798742	0.540789	0.781888	0.080991		-24.92081	-27.576073
36.939291	-11.517969	-14.733949	0.524133	0.787082	0.087634		-24.44672085	-27.66270085
37.358598	-10.888303	-14.663841	0.50751	0.791927	0.094159		-23.9638123	-27.7393503
37.764605	-10.254762	-14.588514	0.490923	0.796431	0.100567		-23.47237375	-27.80612575
38.157344	-9.617618	-14.50806	0.474379	0.800601	0.106857		-22.9726884	-27.8631304
38.536847	-8.977137	-14.422574	0.457881	0.804444	0.113032		-22.46503345	-27.91047045
38.903151	-8.333582	-14.332149	0.441432	0.807967	0.119091		-21.94968485	-27.94825185
39.256297	-7.687208	-14.236876	0.425038	0.811178	0.125037		-21.42691195	-27.97657995
39.596328	-7.038266	-14.136846	0.408701	0.814082	0.13087		-20.8969808	-27.9955608
39.923289	-6.387001	-14.03215	0.392425	0.816685	0.13659		-20.36015215	-28.00530115
40.237229	-5.733652	-13.922878	0.376213	0.818996	0.1422		-19.81668215	-28.00590815
40.538199	-5.078456	-13.809118	0.360067	0.821018	0.1477		-19.26682565	-27.99748765
