x	y	z	Velocidad				x'	y'
18.38175	-7.25798	-3.43875	0.564149	1.145133	0.493597		-13.6915925	-9.8723625
18.393033	-7.235077	-3.428878	0.56235	1.14584	0.493933		-13.67263855	-9.86643955
18.40428	-7.212161	-3.418999	0.56055	1.146546	0.494267		-13.653659	-9.860497
18.415491	-7.18923	-3.409114	0.558749	1.147249	0.494601		-13.63465185	-9.85453585
18.426666	-7.166285	-3.399222	0.556947	1.14795	0.494933		-13.6156181	-9.8485551
18.437805	-7.143326	-3.389323	0.555143	1.148649	0.495265		-13.59655775	-9.84255475
18.448908	-7.120353	-3.379418	0.553339	1.149345	0.495595		-13.5774708	-9.8365358
18.459975	-7.097366	-3.369506	0.551534	1.150039	0.495925		-13.55835725	-9.83049725
18.471005	-7.074365	-3.359588	0.549728	1.150731	0.496253		-13.53921675	-9.82443975
18.482	-7.05135	-3.349663	0.547921	1.15142	0.496581		-13.52005	-9.818363
18.492958	-7.028322	-3.339731	0.546113	1.152107	0.496907		-13.5008573	-9.8122663
18.50388	-7.00528	-3.329793	0.544304	1.152792	0.497233		-13.481638	-9.806151
18.514767	-6.982224	-3.319848	0.542494	1.153475	0.497557		-13.46239245	-9.80001645
18.525616	-6.959155	-3.309897	0.540683	1.154155	0.497881		-13.4431206	-9.7938626
18.53643	-6.936071	-3.299939	0.538871	1.154833	0.498203		-13.4238215	-9.7876895
18.547208	-6.912975	-3.289975	0.537058	1.155509	0.498525		-13.4044978	-9.7814978
18.557949	-6.889865	-3.280005	0.535245	1.156182	0.498845		-13.38514715	-9.77528715
18.568654	-6.866741	-3.270028	0.53343	1.156853	0.499165		-13.3657699	-9.7690569
18.579322	-6.843604	-3.260045	0.531614	1.157522	0.499484		-13.3463667	-9.7628077
18.589954	-6.820453	-3.250055	0.529798	1.158188	0.499801		-13.3269369	-9.7565389
18.60055	-6.79729	-3.240059	0.52798	1.158853	0.500118		-13.3074825	-9.7502515
18.61111	-6.774113	-3.230057	0.526161	1.159514	0.500433		-13.2880015	-9.7439455
18.621633	-6.750922	-3.220048	0.524342	1.160174	0.500748		-13.26849355	-9.73761955
18.63212	-6.727719	-3.210033	0.522522	1.160831	0.501062		-13.248961	-9.731275
18.642571	-6.704502	-3.200012	0.5207	1.161486	0.501374		-13.22940185	-9.72491185
18.652985	-6.681273	-3.189984	0.518878	1.162139	0.501686		-13.20981775	-9.71852875
18.663362	-6.65803	-3.179951	0.517055	1.162789	0.501997		-13.1902067	-9.7121277
18.673703	-6.634774	-3.169911	0.515231	1.163438	0.502306		-13.17057005	-9.70570705
18.684008	-6.611505	-3.159864	0.513406	1.164083	0.502615		-13.1509078	-9.6992668
18.694276	-6.588224	-3.149812	0.51158	1.164727	0.502923		-13.1312206	-9.6928086
18.704508	-6.564929	-3.139754	0.509753	1.165368	0.503229		-13.1115068	-9.6863318
18.714703	-6.541622	-3.129689	0.507925	1.166007	0.503535		-13.09176805	-9.67983505
18.724861	-6.518301	-3.119618	0.506097	1.166643	0.50384		-13.07200235	-9.67331935
18.734983	-6.494969	-3.109542	0.504267	1.167278	0.504143		-13.05221305	-9.66678605
18.745068	-6.471623	-3.099459	0.502437	1.16791	0.504446		-13.0323968	-9.6602328
18.755117	-6.448265	-3.08937	0.500605	1.168539	0.504748		-13.01255595	-9.65366095
18.765129	-6.424894	-3.079275	0.498773	1.169167	0.505048		-12.99268915	-9.64707015
18.775105	-6.401511	-3.069174	0.49694	1.169792	0.505348		-12.97279775	-9.64046075
18.785043	-6.378115	-3.059067	0.495106	1.170414	0.505646		-12.95288005	-9.63383205
18.794946	-6.354707	-3.048954	0.493271	1.171035	0.505944		-12.9329381	-9.6271851
18.804811	-6.331286	-3.038835	0.491435	1.171653	0.506241		-12.91296985	-9.62051885
18.81464	-6.307853	-3.02871	0.489599	1.172269	0.506536		-12.892977	-9.613834
18.824432	-6.284408	-3.01858	0.487761	1.172882	0.506831		-12.8729592	-9.6071312
18.834187	-6.26095	-3.008443	0.485923	1.173493	0.507125		-12.85291545	-9.60040845
18.843905	-6.23748	-2.998301	0.484083	1.174102	0.507417		-12.83284675	-9.59366775
18.853587	-6.213998	-2.988152	0.482243	1.174708	0.507709		-12.81275345	-9.58690745
18.863232	-6.190504	-2.977998	0.480402	1.175313	0.508		-12.7926352	-9.5801292
18.87284	-6.166998	-2.967838	0.478561	1.175914	0.508289		-12.772492	-9.573332
18.882411	-6.143479	-2.957672	0.476718	1.176514	0.508578		-12.75232285	-9.56651585
18.891945	-6.119949	-2.947501	0.474874	1.177111	0.508866		-12.73212975	-9.55968175
18.901443	-6.096407	-2.937323	0.47303	1.177706	0.509152		-12.71191205	-9.55282805
18.910904	-6.072853	-2.92714	0.471185	1.178299	0.509438		-12.6916694	-9.5459564
18.920327	-6.049287	-2.916952	0.469339	1.178889	0.509722		-12.67140145	-9.53906645
18.929714	-6.025709	-2.906757	0.467492	1.179477	0.510006		-12.6511089	-9.5321569
18.939064	-6.002119	-2.896557	0.465644	1.180062	0.510289		-12.6307914	-9.5252294
18.948377	-5.978518	-2.886351	0.463795	1.180646	0.51057		-12.61044995	-9.51828295
18.957653	-5.954905	-2.87614	0.461946	1.181227	0.510851		-12.59008355	-9.51131855
